Disease,WeekText,Week,Value
zika,"January 5, 2014",5-Jan-14,0
ebola,"January 5, 2014",5-Jan-14,0
zika,"January 12, 2014",12-Jan-14,0
ebola,"January 12, 2014",12-Jan-14,0
zika,"January 19, 2014",19-Jan-14,0
ebola,"January 19, 2014",19-Jan-14,0
zika,"January 26, 2014",26-Jan-14,0
ebola,"January 26, 2014",26-Jan-14,0
zika,"February 2, 2014",2-Feb-14,0
ebola,"February 2, 2014",2-Feb-14,0
zika,"February 9, 2014",9-Feb-14,0
ebola,"February 9, 2014",9-Feb-14,0
zika,"February 16, 2014",16-Feb-14,0
ebola,"February 16, 2014",16-Feb-14,0
zika,"February 23, 2014",23-Feb-14,0
ebola,"February 23, 2014",23-Feb-14,0
zika,"March 2, 2014",2-Mar-14,0
ebola,"March 2, 2014",2-Mar-14,0
zika,"March 9, 2014",9-Mar-14,0
ebola,"March 9, 2014",9-Mar-14,0
zika,"March 16, 2014",16-Mar-14,0
ebola,"March 16, 2014",16-Mar-14,0
zika,"March 23, 2014",23-Mar-14,0
ebola,"March 23, 2014",23-Mar-14,1
zika,"March 30, 2014",30-Mar-14,0
ebola,"March 30, 2014",30-Mar-14,1
zika,"April 6, 2014",6-Apr-14,0
ebola,"April 6, 2014",6-Apr-14,1
zika,"April 13, 2014",13-Apr-14,0
ebola,"April 13, 2014",13-Apr-14,1
zika,"April 20, 2014",20-Apr-14,0
ebola,"April 20, 2014",20-Apr-14,1
zika,"April 27, 2014",27-Apr-14,0
ebola,"April 27, 2014",27-Apr-14,0
zika,"May 4, 2014",4-May-14,0
ebola,"May 4, 2014",4-May-14,0
zika,"May 11, 2014",11-May-14,0
ebola,"May 11, 2014",11-May-14,0
zika,"May 18, 2014",18-May-14,0
ebola,"May 18, 2014",18-May-14,0
zika,"May 25, 2014",25-May-14,0
ebola,"May 25, 2014",25-May-14,0
zika,"June 1, 2014",1-Jun-14,0
ebola,"June 1, 2014",1-Jun-14,0
zika,"June 8, 2014",8-Jun-14,0
ebola,"June 8, 2014",8-Jun-14,0
zika,"June 15, 2014",15-Jun-14,0
ebola,"June 15, 2014",15-Jun-14,0
zika,"June 22, 2014",22-Jun-14,0
ebola,"June 22, 2014",22-Jun-14,1
zika,"June 29, 2014",29-Jun-14,0
ebola,"June 29, 2014",29-Jun-14,1
zika,"July 6, 2014",6-Jul-14,0
ebola,"July 6, 2014",6-Jul-14,0
zika,"July 13, 2014",13-Jul-14,0
ebola,"July 13, 2014",13-Jul-14,0
zika,"July 20, 2014",20-Jul-14,0
ebola,"July 20, 2014",20-Jul-14,1
zika,"July 27, 2014",27-Jul-14,0
ebola,"July 27, 2014",27-Jul-14,22
zika,"August 3, 2014",3-Aug-14,0
ebola,"August 3, 2014",3-Aug-14,27
zika,"August 10, 2014",10-Aug-14,0
ebola,"August 10, 2014",10-Aug-14,8
zika,"August 17, 2014",17-Aug-14,0
ebola,"August 17, 2014",17-Aug-14,7
zika,"August 24, 2014",24-Aug-14,0
ebola,"August 24, 2014",24-Aug-14,4
zika,"August 31, 2014",31-Aug-14,0
ebola,"August 31, 2014",31-Aug-14,5
zika,"September 7, 2014",7-Sep-14,0
ebola,"September 7, 2014",7-Sep-14,4
zika,"September 14, 2014",14-Sep-14,0
ebola,"September 14, 2014",14-Sep-14,5
zika,"September 21, 2014",21-Sep-14,0
ebola,"September 21, 2014",21-Sep-14,5
zika,"September 28, 2014",28-Sep-14,0
ebola,"September 28, 2014",28-Sep-14,57
zika,"October 5, 2014",5-Oct-14,0
ebola,"October 5, 2014",5-Oct-14,62
zika,"October 12, 2014",12-Oct-14,0
ebola,"October 12, 2014",12-Oct-14,100
zika,"October 19, 2014",19-Oct-14,0
ebola,"October 19, 2014",19-Oct-14,46
zika,"October 26, 2014",26-Oct-14,0
ebola,"October 26, 2014",26-Oct-14,25
zika,"November 2, 2014",2-Nov-14,0
ebola,"November 2, 2014",2-Nov-14,11
zika,"November 9, 2014",9-Nov-14,0
ebola,"November 9, 2014",9-Nov-14,8
zika,"November 16, 2014",16-Nov-14,0
ebola,"November 16, 2014",16-Nov-14,7
zika,"November 23, 2014",23-Nov-14,0
ebola,"November 23, 2014",23-Nov-14,4
zika,"November 30, 2014",30-Nov-14,0
ebola,"November 30, 2014",30-Nov-14,4
zika,"December 7, 2014",7-Dec-14,0
ebola,"December 7, 2014",7-Dec-14,3
zika,"December 14, 2014",14-Dec-14,0
ebola,"December 14, 2014",14-Dec-14,3
zika,"December 21, 2014",21-Dec-14,0
ebola,"December 21, 2014",21-Dec-14,2
zika,"December 28, 2014",28-Dec-14,0
ebola,"December 28, 2014",28-Dec-14,2
zika,"January 4, 2015",4-Jan-15,0
ebola,"January 4, 2015",4-Jan-15,2
zika,"January 11, 2015",11-Jan-15,0
ebola,"January 11, 2015",11-Jan-15,2
zika,"January 18, 2015",18-Jan-15,0
ebola,"January 18, 2015",18-Jan-15,2
zika,"January 25, 2015",25-Jan-15,0
ebola,"January 25, 2015",25-Jan-15,2
zika,"February 1, 2015",1-Feb-15,0
ebola,"February 1, 2015",1-Feb-15,2
zika,"February 8, 2015",8-Feb-15,0
ebola,"February 8, 2015",8-Feb-15,2
zika,"February 15, 2015",15-Feb-15,0
ebola,"February 15, 2015",15-Feb-15,1
zika,"February 22, 2015",22-Feb-15,0
ebola,"February 22, 2015",22-Feb-15,1
zika,"March 1, 2015",1-Mar-15,0
ebola,"March 1, 2015",1-Mar-15,1
zika,"March 8, 2015",8-Mar-15,0
ebola,"March 8, 2015",8-Mar-15,1
zika,"March 15, 2015",15-Mar-15,0
ebola,"March 15, 2015",15-Mar-15,1
zika,"March 22, 2015",22-Mar-15,0
ebola,"March 22, 2015",22-Mar-15,1
zika,"March 29, 2015",29-Mar-15,0
ebola,"March 29, 2015",29-Mar-15,1
zika,"April 5, 2015",5-Apr-15,0
ebola,"April 5, 2015",5-Apr-15,1
zika,"April 12, 2015",12-Apr-15,0
ebola,"April 12, 2015",12-Apr-15,1
zika,"April 19, 2015",19-Apr-15,0
ebola,"April 19, 2015",19-Apr-15,1
zika,"April 26, 2015",26-Apr-15,0
ebola,"April 26, 2015",26-Apr-15,1
zika,"May 3, 2015",3-May-15,0
ebola,"May 3, 2015",3-May-15,1
zika,"May 10, 2015",10-May-15,0
ebola,"May 10, 2015",10-May-15,1
zika,"May 17, 2015",17-May-15,0
ebola,"May 17, 2015",17-May-15,1
zika,"May 24, 2015",24-May-15,0
ebola,"May 24, 2015",24-May-15,1
zika,"May 31, 2015",31-May-15,0
ebola,"May 31, 2015",31-May-15,0
zika,"June 7, 2015",7-Jun-15,0
ebola,"June 7, 2015",7-Jun-15,0
zika,"June 14, 2015",14-Jun-15,0
ebola,"June 14, 2015",14-Jun-15,0
zika,"June 21, 2015",21-Jun-15,0
ebola,"June 21, 2015",21-Jun-15,0
zika,"June 28, 2015",28-Jun-15,0
ebola,"June 28, 2015",28-Jun-15,0
zika,"July 5, 2015",5-Jul-15,0
ebola,"July 5, 2015",5-Jul-15,0
zika,"July 12, 2015",12-Jul-15,0
ebola,"July 12, 2015",12-Jul-15,0
zika,"July 19, 2015",19-Jul-15,0
ebola,"July 19, 2015",19-Jul-15,0
zika,"July 26, 2015",26-Jul-15,0
ebola,"July 26, 2015",26-Jul-15,0
zika,"August 2, 2015",2-Aug-15,0
ebola,"August 2, 2015",2-Aug-15,0
zika,"August 9, 2015",9-Aug-15,0
ebola,"August 9, 2015",9-Aug-15,0
zika,"August 16, 2015",16-Aug-15,0
ebola,"August 16, 2015",16-Aug-15,0
zika,"August 23, 2015",23-Aug-15,0
ebola,"August 23, 2015",23-Aug-15,0
zika,"August 30, 2015",30-Aug-15,0
ebola,"August 30, 2015",30-Aug-15,0
zika,"September 6, 2015",6-Sep-15,0
ebola,"September 6, 2015",6-Sep-15,0
zika,"September 13, 2015",13-Sep-15,0
ebola,"September 13, 2015",13-Sep-15,0
zika,"September 20, 2015",20-Sep-15,0
ebola,"September 20, 2015",20-Sep-15,0
zika,"September 27, 2015",27-Sep-15,0
ebola,"September 27, 2015",27-Sep-15,0
zika,"October 4, 2015",4-Oct-15,0
ebola,"October 4, 2015",4-Oct-15,0
zika,"October 11, 2015",11-Oct-15,0
ebola,"October 11, 2015",11-Oct-15,1
zika,"October 18, 2015",18-Oct-15,0
ebola,"October 18, 2015",18-Oct-15,0
zika,"October 25, 2015",25-Oct-15,0
ebola,"October 25, 2015",25-Oct-15,0
zika,"November 1, 2015",1-Nov-15,0
ebola,"November 1, 2015",1-Nov-15,0
zika,"November 8, 2015",8-Nov-15,0
ebola,"November 8, 2015",8-Nov-15,0
zika,"November 15, 2015",15-Nov-15,0
ebola,"November 15, 2015",15-Nov-15,0
zika,"November 22, 2015",22-Nov-15,0
ebola,"November 22, 2015",22-Nov-15,0
zika,"November 29, 2015",29-Nov-15,0
ebola,"November 29, 2015",29-Nov-15,0
zika,"December 6, 2015",6-Dec-15,0
ebola,"December 6, 2015",6-Dec-15,0
zika,"December 13, 2015",13-Dec-15,0
ebola,"December 13, 2015",13-Dec-15,0
zika,"December 20, 2015",20-Dec-15,0
ebola,"December 20, 2015",20-Dec-15,0
zika,"December 27, 2015",27-Dec-15,0
ebola,"December 27, 2015",27-Dec-15,0
zika,"January 3, 2016",3-Jan-16,0
ebola,"January 3, 2016",3-Jan-16,0
zika,"January 10, 2016",10-Jan-16,0
ebola,"January 10, 2016",10-Jan-16,0
zika,"January 17, 2016",17-Jan-16,2
ebola,"January 17, 2016",17-Jan-16,0
zika,"January 24, 2016",24-Jan-16,9
ebola,"January 24, 2016",24-Jan-16,0
zika,"January 31, 2016",31-Jan-16,14
ebola,"January 31, 2016",31-Jan-16,0
zika,"February 7, 2016",7-Feb-16,7
ebola,"February 7, 2016",7-Feb-16,0
zika,"February 14, 2016",14-Feb-16,4
ebola,"February 14, 2016",14-Feb-16,0
zika,"February 21, 2016",21-Feb-16,3
ebola,"February 21, 2016",21-Feb-16,0
zika,"February 28, 2016",28-Feb-16,3
ebola,"February 28, 2016",28-Feb-16,0
zika,"March 6, 2016",6-Mar-16,2
ebola,"March 6, 2016",6-Mar-16,0
zika,"March 13, 2016",13-Mar-16,2
ebola,"March 13, 2016",13-Mar-16,0
zika,"March 20, 2016",20-Mar-16,2
ebola,"March 20, 2016",20-Mar-16,0
zika,"March 27, 2016",27-Mar-16,2
ebola,"March 27, 2016",27-Mar-16,0
zika,"April 3, 2016",3-Apr-16,1
ebola,"April 3, 2016",3-Apr-16,0
zika,"April 10, 2016",10-Apr-16,4
ebola,"April 10, 2016",10-Apr-16,0
zika,"April 17, 2016",17-Apr-16,2
ebola,"April 17, 2016",17-Apr-16,0
zika,"April 24, 2016",24-Apr-16,2
ebola,"April 24, 2016",24-Apr-16,0
zika,"May 1, 2016",1-May-16,2
ebola,"May 1, 2016",1-May-16,0
zika,"May 8, 2016",8-May-16,2
ebola,"May 8, 2016",8-May-16,0
zika,"May 15, 2016",15-May-16,3
ebola,"May 15, 2016",15-May-16,0
zika,"May 22, 2016",22-May-16,3
ebola,"May 22, 2016",22-May-16,0
zika,"May 29, 2016",29-May-16,4
ebola,"May 29, 2016",29-May-16,0
zika,"June 5, 2016",5-Jun-16,3
ebola,"June 5, 2016",5-Jun-16,0
zika,"June 12, 2016",12-Jun-16,2
ebola,"June 12, 2016",12-Jun-16,0
zika,"June 19, 2016",19-Jun-16,3
ebola,"June 19, 2016",19-Jun-16,0
zika,"June 26, 2016",26-Jun-16,3
ebola,"June 26, 2016",26-Jun-16,0
zika,"July 3, 2016",3-Jul-16,2
ebola,"July 3, 2016",3-Jul-16,0
zika,"July 10, 2016",10-Jul-16,2
ebola,"July 10, 2016",10-Jul-16,0
zika,"July 17, 2016",17-Jul-16,2
ebola,"July 17, 2016",17-Jul-16,0
zika,"July 24, 2016",24-Jul-16,3
ebola,"July 24, 2016",24-Jul-16,0
zika,"July 31, 2016",31-Jul-16,9
ebola,"July 31, 2016",31-Jul-16,0
zika,"August 7, 2016",7-Aug-16,5
ebola,"August 7, 2016",7-Aug-16,0
zika,"August 14, 2016",14-Aug-16,4
ebola,"August 14, 2016",14-Aug-16,0
zika,"August 21, 2016",21-Aug-16,5
ebola,"August 21, 2016",21-Aug-16,0
zika,"August 28, 2016",28-Aug-16,4
ebola,"August 28, 2016",28-Aug-16,0
zika,"September 4, 2016",4-Sep-16,3
ebola,"September 4, 2016",4-Sep-16,0
zika,"September 11, 2016",11-Sep-16,3
ebola,"September 11, 2016",11-Sep-16,0
zika,"September 18, 2016",18-Sep-16,2
ebola,"September 18, 2016",18-Sep-16,0
zika,"September 25, 2016",25-Sep-16,2
ebola,"September 25, 2016",25-Sep-16,0
zika,"October 2, 2016",2-Oct-16,1
ebola,"October 2, 2016",2-Oct-16,0
zika,"October 9, 2016",9-Oct-16,1
ebola,"October 9, 2016",9-Oct-16,0
zika,"October 16, 2016",16-Oct-16,1
ebola,"October 16, 2016",16-Oct-16,0
zika,"October 23, 2016",23-Oct-16,1
ebola,"October 23, 2016",23-Oct-16,0
zika,"October 30, 2016",30-Oct-16,1
ebola,"October 30, 2016",30-Oct-16,0
zika,"November 6, 2016",6-Nov-16,1
