Name,Date,Value,Year
Ebola,10/01/14,53,2014
Ebola,10/02/14,64,2014
Ebola,10/03/14,63,2014
Ebola,10/04/14,47,2014
Ebola,10/05/14,41,2014
Ebola,10/06/14,41,2014
Ebola,10/07/14,33,2014
Ebola,10/08/14,56,2014
Ebola,10/09/14,56,2014
Ebola,10/10/14,41,2014
Ebola,10/11/14,28,2014
Ebola,10/12/14,44,2014
Ebola,10/13/14,53,2014
Ebola,10/14/14,55,2014
Ebola,10/15/14,90,2014
Ebola,10/16/14,100,2014
Ebola,10/17/14,80,2014
Ebola,10/18/14,51,2014
Ebola,10/19/14,36,2014
Ebola,10/20/14,33,2014
Ebola,10/21/14,33,2014
Ebola,10/22/14,26,2014
Ebola,10/23/14,22,2014
Ebola,10/24/14,51,2014
Ebola,10/25/14,23,2014
Ebola,10/26/14,19,2014
Ebola,10/27/14,23,2014
Ebola,10/28/14,20,2014
Ebola,10/29/14,16,2014
Ebola,10/30/14,14,2014
Ebola,10/31/14,13,2014
Ebola,11/01/14,10,2014
Ebola,11/02/14,9,2014
Ebola,11/03/14,10,2014
Ebola,11/04/14,9,2014
Ebola,11/05/14,7,2014
Ebola,11/06/14,7,2014
Ebola,11/07/14,7,2014
Ebola,11/08/14,5,2014
Ebola,11/09/14,5,2014
Ebola,11/10/14,6,2014
Ebola,11/11/14,7,2014
Ebola,11/12/14,6,2014
Ebola,11/13/14,5,2014
Ebola,11/14/14,5,2014
Ebola,11/15/14,4,2014
Ebola,11/16/14,4,2014
Ebola,11/17/14,6,2014
Ebola,11/18/14,5,2014
Ebola,11/19/14,5,2014
Ebola,11/20/14,5,2014
Ebola,11/21/14,4,2014
Ebola,11/22/14,3,2014
Ebola,11/23/14,3,2014
Ebola,11/24/14,3,2014
Ebola,11/25/14,3,2014
Ebola,11/26/14,2,2014
Ebola,11/27/14,2,2014
Ebola,11/28/14,2,2014
Ebola,11/29/14,2,2014
Ebola,11/30/14,2,2014
Ebola,12/01/14,3,2014
Ebola,12/02/14,3,2014
Ebola,12/03/14,4,2014
Ebola,12/04/14,3,2014
Ebola,12/05/14,3,2014
Ebola,12/06/14,2,2014
Ebola,12/07/14,2,2014
Ebola,12/08/14,2,2014
Ebola,12/09/14,2,2014
Ebola,12/10/14,2,2014
Ebola,12/11/14,2,2014
Ebola,12/12/14,2,2014
Ebola,12/13/14,1,2014
Ebola,12/14/14,2,2014
Ebola,12/15/14,2,2014
Ebola,12/16/14,2,2014
Ebola,12/17/14,2,2014
Ebola,12/18/14,2,2014
Ebola,12/19/14,2,2014
Ebola,12/20/14,1,2014
Ebola,12/21/14,1,2014
Ebola,12/22/14,1,2014
Ebola,12/23/14,1,2014
Ebola,12/24/14,1,2014
Ebola,12/25/14,2,2014
Ebola,12/26/14,1,2014
Ebola,12/27/14,1,2014
Ebola,12/28/14,1,2014
Ebola,12/29/14,1,2014
Ebola,12/30/14,2,2014
Ebola,12/31/14,2,2014
Ebola,01/01/15,2,2015
Ebola,01/02/15,1,2015
Ebola,01/03/15,1,2015
Ebola,01/04/15,1,2015
Ebola,01/05/15,2,2015
Ebola,01/06/15,2,2015
Ebola,01/07/15,2,2015
Ebola,01/08/15,1,2015
Ebola,01/09/15,2,2015
Ebola,01/10/15,1,2015
Ebola,01/11/15,1,2015
Ebola,01/12/15,2,2015
Ebola,01/13/15,2,2015
Ebola,01/14/15,2,2015
Ebola,01/15/15,2,2015
Ebola,01/16/15,1,2015
Ebola,01/17/15,1,2015
Ebola,01/18/15,1,2015
Ebola,01/19/15,1,2015
Ebola,01/20/15,2,2015
Ebola,01/21/15,1,2015
Ebola,01/22/15,1,2015
Ebola,01/23/15,1,2015
Ebola,01/24/15,1,2015
Ebola,01/25/15,1,2015
Ebola,01/26/15,1,2015
Ebola,01/27/15,1,2015
Ebola,01/28/15,1,2015
Ebola,01/29/15,1,2015
Ebola,01/30/15,2,2015
Ebola,01/31/15,1,2015
Ebola,02/01/15,1,2015
Ebola,02/02/15,1,2015
Ebola,02/03/15,1,2015
Ebola,02/04/15,1,2015
Ebola,02/05/15,1,2015
Ebola,02/06/15,1,2015
Ebola,02/07/15,1,2015
Ebola,02/08/15,1,2015
Ebola,02/09/15,1,2015
Ebola,02/10/15,1,2015
Ebola,02/11/15,1,2015
Ebola,02/12/15,1,2015
Ebola,02/13/15,1,2015
Ebola,02/14/15,1,2015
Ebola,02/15/15,1,2015
Ebola,02/16/15,1,2015
Ebola,02/17/15,1,2015
Ebola,02/18/15,1,2015
Ebola,02/19/15,1,2015
Ebola,02/20/15,1,2015
Ebola,02/21/15,1,2015
Ebola,02/22/15,0,2015
Ebola,02/23/15,1,2015
Ebola,02/24/15,1,2015
Ebola,02/25/15,1,2015
Ebola,02/26/15,1,2015
Ebola,02/27/15,1,2015
Ebola,02/28/15,0,2015
Ebola,03/01/15,1,2015
Ebola,03/02/15,1,2015
Ebola,03/03/15,1,2015
Ebola,03/04/15,1,2015
Ebola,03/05/15,1,2015
Ebola,03/06/15,1,2015
Ebola,03/07/15,1,2015
Ebola,03/08/15,1,2015
Ebola,03/09/15,1,2015
Ebola,03/10/15,1,2015
Ebola,03/11/15,1,2015
Ebola,03/12/15,1,2015
Ebola,03/13/15,1,2015
Ebola,03/14/15,1,2015
Ebola,03/15/15,1,2015
Ebola,03/16/15,1,2015
Ebola,03/17/15,1,2015
Ebola,03/18/15,1,2015
Ebola,03/19/15,1,2015
Ebola,03/20/15,1,2015
Ebola,03/21/15,0,2015
Ebola,03/22/15,0,2015
Ebola,03/23/15,1,2015
Ebola,03/24/15,1,2015
Ebola,03/25/15,1,2015
Ebola,03/26/15,1,2015
Ebola,03/27/15,1,2015
Ebola,03/28/15,0,2015
Ebola,03/29/15,0,2015
Ebola,03/30/15,1,2015
Ebola,03/31/15,1,2015
Flu,10/01/14,3,2014
Flu,10/02/14,4,2014
Flu,10/03/14,3,2014
Flu,10/04/14,3,2014
Flu,10/05/14,2,2014
Flu,10/06/14,3,2014
Flu,10/07/14,4,2014
Flu,10/08/14,4,2014
Flu,10/09/14,4,2014
Flu,10/10/14,4,2014
Flu,10/11/14,3,2014
Flu,10/12/14,2,2014
Flu,10/13/14,4,2014
Flu,10/14/14,4,2014
Flu,10/15/14,5,2014
Flu,10/16/14,5,2014
Flu,10/17/14,4,2014
Flu,10/18/14,3,2014
Flu,10/19/14,3,2014
Flu,10/20/14,4,2014
Flu,10/21/14,4,2014
Flu,10/22/14,4,2014
Flu,10/23/14,4,2014
Flu,10/24/14,3,2014
Flu,10/25/14,3,2014
Flu,10/26/14,2,2014
Flu,10/27/14,3,2014
Flu,10/28/14,3,2014
Flu,10/29/14,3,2014
Flu,10/30/14,3,2014
Flu,10/31/14,2,2014
Flu,11/01/14,2,2014
Flu,11/02/14,2,2014
Flu,11/03/14,3,2014
Flu,11/04/14,3,2014
Flu,11/05/14,3,2014
Flu,11/06/14,3,2014
Flu,11/07/14,2,2014
Flu,11/08/14,2,2014
Flu,11/09/14,2,2014
Flu,11/10/14,2,2014
Flu,11/11/14,2,2014
Flu,11/12/14,2,2014
Flu,11/13/14,2,2014
Flu,11/14/14,2,2014
Flu,11/15/14,2,2014
Flu,11/16/14,2,2014
Flu,11/17/14,2,2014
Flu,11/18/14,2,2014
Flu,11/19/14,2,2014
Flu,11/20/14,2,2014
Flu,11/21/14,2,2014
Flu,11/22/14,2,2014
Flu,11/23/14,2,2014
Flu,11/24/14,2,2014
Flu,11/25/14,2,2014
Flu,11/26/14,2,2014
Flu,11/27/14,2,2014
Flu,11/28/14,2,2014
Flu,11/29/14,2,2014
Flu,11/30/14,2,2014
Flu,12/01/14,2,2014
Flu,12/02/14,2,2014
Flu,12/03/14,2,2014
Flu,12/04/14,3,2014
Flu,12/05/14,3,2014
Flu,12/06/14,3,2014
Flu,12/07/14,3,2014
Flu,12/08/14,3,2014
Flu,12/09/14,3,2014
Flu,12/10/14,3,2014
Flu,12/11/14,3,2014
Flu,12/12/14,3,2014
Flu,12/13/14,3,2014
Flu,12/14/14,3,2014
Flu,12/15/14,4,2014
Flu,12/16/14,4,2014
Flu,12/17/14,4,2014
Flu,12/18/14,4,2014
Flu,12/19/14,4,2014
Flu,12/20/14,5,2014
Flu,12/21/14,5,2014
Flu,12/22/14,5,2014
Flu,12/23/14,5,2014
Flu,12/24/14,5,2014
Flu,12/25/14,4,2014
Flu,12/26/14,5,2014
Flu,12/27/14,5,2014
Flu,12/28/14,5,2014
Flu,12/29/14,5,2014
Flu,12/30/14,6,2014
Flu,12/31/14,7,2014
Flu,01/01/15,5,2015
Flu,01/02/15,6,2015
Flu,01/03/15,6,2015
Flu,01/04/15,5,2015
Flu,01/05/15,6,2015
Flu,01/06/15,6,2015
Flu,01/07/15,5,2015
Flu,01/08/15,4,2015
Flu,01/09/15,4,2015
Flu,01/10/15,4,2015
Flu,01/11/15,4,2015
Flu,01/12/15,4,2015
Flu,01/13/15,4,2015
Flu,01/14/15,4,2015
Flu,01/15/15,4,2015
Flu,01/16/15,4,2015
Flu,01/17/15,4,2015
Flu,01/18/15,4,2015
Flu,01/19/15,4,2015
Flu,01/20/15,4,2015
Flu,01/21/15,4,2015
Flu,01/22/15,4,2015
Flu,01/23/15,3,2015
Flu,01/24/15,3,2015
Flu,01/25/15,3,2015
Flu,01/26/15,3,2015
Flu,01/27/15,3,2015
Flu,01/28/15,3,2015
Flu,01/29/15,3,2015
Flu,01/30/15,3,2015
Flu,01/31/15,3,2015
Flu,02/01/15,3,2015
Flu,02/02/15,3,2015
Flu,02/03/15,3,2015
Flu,02/04/15,3,2015
Flu,02/05/15,3,2015
Flu,02/06/15,2,2015
Flu,02/07/15,2,2015
Flu,02/08/15,2,2015
Flu,02/09/15,2,2015
Flu,02/10/15,3,2015
Flu,02/11/15,3,2015
Flu,02/12/15,2,2015
Flu,02/13/15,2,2015
Flu,02/14/15,2,2015
Flu,02/15/15,2,2015
Flu,02/16/15,2,2015
Flu,02/17/15,2,2015
Flu,02/18/15,3,2015
Flu,02/19/15,3,2015
Flu,02/20/15,2,2015
Flu,02/21/15,2,2015
Flu,02/22/15,2,2015
Flu,02/23/15,2,2015
Flu,02/24/15,2,2015
Flu,02/25/15,2,2015
Flu,02/26/15,2,2015
Flu,02/27/15,2,2015
Flu,02/28/15,2,2015
Flu,03/01/15,2,2015
Flu,03/02/15,2,2015
Flu,03/03/15,2,2015
Flu,03/04/15,2,2015
Flu,03/05/15,2,2015
Flu,03/06/15,2,2015
Flu,03/07/15,2,2015
Flu,03/08/15,2,2015
Flu,03/09/15,2,2015
Flu,03/10/15,2,2015
Flu,03/11/15,2,2015
Flu,03/12/15,2,2015
Flu,03/13/15,2,2015
Flu,03/14/15,2,2015
Flu,03/15/15,2,2015
Flu,03/16/15,2,2015
