Name,Date,Value,Year
Zika,10/01/15,0,2015
Zika,10/02/15,0,2015
Zika,10/03/15,0,2015
Zika,10/04/15,0,2015
Zika,10/05/15,0,2015
Zika,10/06/15,0,2015
Zika,10/07/15,0,2015
Zika,10/08/15,0,2015
Zika,10/09/15,0,2015
Zika,10/10/15,0,2015
Zika,10/11/15,0,2015
Zika,10/12/15,0,2015
Zika,10/13/15,0,2015
Zika,10/14/15,0,2015
Zika,10/15/15,0,2015
Zika,10/16/15,0,2015
Zika,10/17/15,0,2015
Zika,10/18/15,0,2015
Zika,10/19/15,0,2015
Zika,10/20/15,0,2015
Zika,10/21/15,0,2015
Zika,10/22/15,0,2015
Zika,10/23/15,0,2015
Zika,10/24/15,0,2015
Zika,10/25/15,0,2015
Zika,10/26/15,0,2015
Zika,10/27/15,0,2015
Zika,10/28/15,0,2015
Zika,10/29/15,0,2015
Zika,10/30/15,0,2015
Zika,10/31/15,0,2015
Zika,11/01/15,0,2015
Zika,11/02/15,0,2015
Zika,11/03/15,0,2015
Zika,11/04/15,0,2015
Zika,11/05/15,0,2015
Zika,11/06/15,0,2015
Zika,11/07/15,0,2015
Zika,11/08/15,0,2015
Zika,11/09/15,0,2015
Zika,11/10/15,0,2015
Zika,11/11/15,0,2015
Zika,11/12/15,0,2015
Zika,11/13/15,0,2015
Zika,11/14/15,0,2015
Zika,11/15/15,0,2015
Zika,11/16/15,0,2015
Zika,11/17/15,0,2015
Zika,11/18/15,0,2015
Zika,11/19/15,0,2015
Zika,11/20/15,0,2015
Zika,11/21/15,0,2015
Zika,11/22/15,0,2015
Zika,11/23/15,0,2015
Zika,11/24/15,0,2015
Zika,11/25/15,0,2015
Zika,11/26/15,0,2015
Zika,11/27/15,0,2015
Zika,11/28/15,0,2015
Zika,11/29/15,0,2015
Zika,11/30/15,0,2015
Zika,12/01/15,0,2015
Zika,12/02/15,0,2015
Zika,12/03/15,0,2015
Zika,12/04/15,0,2015
Zika,12/05/15,0,2015
Zika,12/06/15,0,2015
Zika,12/07/15,0,2015
Zika,12/08/15,0,2015
Zika,12/09/15,0,2015
Zika,12/10/15,0,2015
Zika,12/11/15,0,2015
Zika,12/12/15,0,2015
Zika,12/13/15,0,2015
Zika,12/14/15,0,2015
Zika,12/15/15,0,2015
Zika,12/16/15,0,2015
Zika,12/17/15,0,2015
Zika,12/18/15,0,2015
Zika,12/19/15,0,2015
Zika,12/20/15,0,2015
Zika,12/21/15,0,2015
Zika,12/22/15,0,2015
Zika,12/23/15,2,2015
Zika,12/24/15,1,2015
Zika,12/25/15,0,2015
Zika,12/26/15,0,2015
Zika,12/27/15,0,2015
Zika,12/28/15,0,2015
Zika,12/29/15,0,2015
Zika,12/30/15,1,2015
Zika,12/31/15,1,2015
Zika,01/01/16,1,2016
Zika,01/02/16,1,2016
Zika,01/03/16,0,2016
Zika,01/04/16,1,2016
Zika,01/05/16,1,2016
Zika,01/06/16,1,2016
Zika,01/07/16,1,2016
Zika,01/08/16,1,2016
Zika,01/09/16,0,2016
Zika,01/10/16,0,2016
Zika,01/11/16,1,2016
Zika,01/12/16,1,2016
Zika,01/13/16,1,2016
Zika,01/14/16,2,2016
Zika,01/15/16,5,2016
Zika,01/16/16,7,2016
Zika,01/17/16,10,2016
Zika,01/18/16,8,2016
Zika,01/19/16,9,2016
Zika,01/20/16,14,2016
Zika,01/21/16,12,2016
Zika,01/22/16,10,2016
Zika,01/23/16,13,2016
Zika,01/24/16,9,2016
Zika,01/25/16,15,2016
Zika,01/26/16,27,2016
Zika,01/27/16,44,2016
Zika,01/28/16,92,2016
Zika,01/29/16,80,2016
Zika,01/30/16,53,2016
Zika,01/31/16,33,2016
Zika,02/01/16,54,2016
Zika,02/02/16,66,2016
Zika,02/03/16,100,2016
Zika,02/04/16,91,2016
Zika,02/05/16,73,2016
Zika,02/06/16,51,2016
Zika,02/07/16,37,2016
Zika,02/08/16,33,2016
Zika,02/09/16,41,2016
Zika,02/10/16,40,2016
Zika,02/11/16,38,2016
Zika,02/12/16,30,2016
Zika,02/13/16,25,2016
Zika,02/14/16,19,2016
Zika,02/15/16,21,2016
Zika,02/16/16,22,2016
Zika,02/17/16,21,2016
Zika,02/18/16,19,2016
Zika,02/19/16,19,2016
Zika,02/20/16,15,2016
Zika,02/21/16,13,2016
Zika,02/22/16,14,2016
Zika,02/23/16,17,2016
Zika,02/24/16,20,2016
Zika,02/25/16,19,2016
Zika,02/26/16,16,2016
Zika,02/27/16,17,2016
Zika,02/28/16,12,2016
Zika,02/29/16,13,2016
Zika,03/01/16,16,2016
Zika,03/02/16,14,2016
Zika,03/03/16,13,2016
Zika,03/04/16,12,2016
Zika,03/05/16,11,2016
Zika,03/06/16,9,2016
Zika,03/07/16,10,2016
Zika,03/08/16,12,2016
Zika,03/09/16,13,2016
Zika,03/10/16,13,2016
Zika,03/11/16,12,2016
Zika,03/12/16,9,2016
Zika,03/13/16,9,2016
Zika,03/14/16,9,2016
Zika,03/15/16,9,2016
Zika,03/16/16,9,2016
Zika,03/17/16,8,2016
Zika,03/18/16,8,2016
Zika,03/19/16,7,2016
Zika,03/20/16,8,2016
Zika,03/21/16,8,2016
Zika,03/22/16,9,2016
Zika,03/23/16,8,2016
Zika,03/24/16,8,2016
Zika,03/25/16,8,2016
Zika,03/26/16,8,2016
Zika,03/27/16,7,2016
Zika,03/28/16,8,2016
Zika,03/29/16,8,2016
Zika,03/30/16,8,2016
Zika,03/31/16,9,2016
Flu,10/01/15,21,2015
Flu,10/02/15,19,2015
Flu,10/03/15,16,2015
Flu,10/04/15,14,2015
Flu,10/05/15,23,2015
Flu,10/06/15,28,2015
Flu,10/07/15,28,2015
Flu,10/08/15,27,2015
Flu,10/09/15,23,2015
Flu,10/10/15,19,2015
Flu,10/11/15,15,2015
Flu,10/12/15,22,2015
Flu,10/13/15,24,2015
Flu,10/14/15,24,2015
Flu,10/15/15,25,2015
Flu,10/16/15,21,2015
Flu,10/17/15,17,2015
Flu,10/18/15,16,2015
Flu,10/19/15,24,2015
Flu,10/20/15,24,2015
Flu,10/21/15,25,2015
Flu,10/22/15,24,2015
Flu,10/23/15,22,2015
Flu,10/24/15,17,2015
Flu,10/25/15,16,2015
Flu,10/26/15,21,2015
Flu,10/27/15,23,2015
Flu,10/28/15,22,2015
Flu,10/29/15,21,2015
Flu,10/30/15,20,2015
Flu,10/31/15,15,2015
Flu,11/01/15,13,2015
Flu,11/02/15,18,2015
Flu,11/03/15,19,2015
Flu,11/04/15,19,2015
Flu,11/05/15,19,2015
Flu,11/06/15,17,2015
Flu,11/07/15,15,2015
Flu,11/08/15,13,2015
Flu,11/09/15,16,2015
Flu,11/10/15,17,2015
Flu,11/11/15,17,2015
Flu,11/12/15,16,2015
Flu,11/13/15,15,2015
Flu,11/14/15,12,2015
Flu,11/15/15,13,2015
Flu,11/16/15,15,2015
Flu,11/17/15,16,2015
Flu,11/18/15,16,2015
Flu,11/19/15,16,2015
Flu,11/20/15,14,2015
Flu,11/21/15,12,2015
Flu,11/22/15,11,2015
Flu,11/23/15,14,2015
Flu,11/24/15,15,2015
Flu,11/25/15,14,2015
Flu,11/26/15,10,2015
Flu,11/27/15,10,2015
Flu,11/28/15,11,2015
Flu,11/29/15,12,2015
Flu,11/30/15,13,2015
Flu,12/01/15,15,2015
Flu,12/02/15,14,2015
Flu,12/03/15,14,2015
Flu,12/04/15,13,2015
Flu,12/05/15,12,2015
Flu,12/06/15,12,2015
Flu,12/07/15,13,2015
Flu,12/08/15,14,2015
Flu,12/09/15,13,2015
Flu,12/10/15,13,2015
Flu,12/11/15,12,2015
Flu,12/12/15,11,2015
Flu,12/13/15,11,2015
Flu,12/14/15,13,2015
Flu,12/15/15,14,2015
Flu,12/16/15,13,2015
Flu,12/17/15,13,2015
Flu,12/18/15,12,2015
Flu,12/19/15,12,2015
Flu,12/20/15,11,2015
Flu,12/21/15,13,2015
Flu,12/22/15,15,2015
Flu,12/23/15,13,2015
Flu,12/24/15,12,2015
Flu,12/25/15,11,2015
Flu,12/26/15,13,2015
Flu,12/27/15,14,2015
Flu,12/28/15,15,2015
Flu,12/29/15,14,2015
Flu,12/30/15,15,2015
Flu,12/31/15,13,2015
Flu,01/01/16,11,2016
Flu,01/02/16,12,2016
Flu,01/03/16,13,2016
Flu,01/04/16,14,2016
Flu,01/05/16,15,2016
Flu,01/06/16,15,2016
Flu,01/07/16,14,2016
Flu,01/08/16,12,2016
Flu,01/09/16,11,2016
Flu,01/10/16,10,2016
Flu,01/11/16,12,2016
Flu,01/12/16,12,2016
Flu,01/13/16,13,2016
Flu,01/14/16,12,2016
Flu,01/15/16,14,2016
Flu,01/16/16,12,2016
Flu,01/17/16,12,2016
Flu,01/18/16,12,2016
Flu,01/19/16,14,2016
Flu,01/20/16,13,2016
Flu,01/21/16,14,2016
Flu,01/22/16,12,2016
Flu,01/23/16,11,2016
Flu,01/24/16,11,2016
Flu,01/25/16,13,2016
Flu,01/26/16,14,2016
Flu,01/27/16,13,2016
Flu,01/28/16,13,2016
Flu,01/29/16,12,2016
Flu,01/30/16,12,2016
Flu,01/31/16,12,2016
Flu,02/01/16,13,2016
Flu,02/02/16,13,2016
Flu,02/03/16,13,2016
Flu,02/04/16,13,2016
Flu,02/05/16,12,2016
Flu,02/06/16,12,2016
Flu,02/07/16,12,2016
Flu,02/08/16,13,2016
Flu,02/09/16,15,2016
Flu,02/10/16,15,2016
Flu,02/11/16,14,2016
Flu,02/12/16,14,2016
Flu,02/13/16,13,2016
Flu,02/14/16,15,2016
Flu,02/15/16,16,2016
Flu,02/16/16,18,2016
Flu,02/17/16,19,2016
Flu,02/18/16,18,2016
Flu,02/19/16,17,2016
Flu,02/20/16,18,2016
Flu,02/21/16,18,2016
Flu,02/22/16,18,2016
Flu,02/23/16,20,2016
Flu,02/24/16,19,2016
Flu,02/25/16,19,2016
Flu,02/26/16,18,2016
Flu,02/27/16,18,2016
Flu,02/28/16,19,2016
Flu,02/29/16,18,2016
Flu,03/01/16,19,2016
Flu,03/02/16,19,2016
Flu,03/03/16,20,2016
Flu,03/04/16,18,2016
Flu,03/05/16,18,2016
Flu,03/06/16,19,2016
Flu,03/07/16,21,2016
Flu,03/08/16,21,2016
Flu,03/09/16,21,2016
Flu,03/10/16,21,2016
Flu,03/11/16,19,2016
Flu,03/12/16,18,2016
Flu,03/13/16,18,2016
Flu,03/14/16,19,2016
Flu,03/15/16,19,2016
Flu,03/16/16,18,2016
Flu,03/17/16,16,2016
Flu,03/18/16,16,2016
Flu,03/19/16,14,2016
Flu,03/20/16,15,2016
Flu,03/21/16,16,2016
Flu,03/22/16,16,2016
Flu,03/23/16,16,2016
Flu,03/24/16,15,2016
Flu,03/25/16,14,2016
Flu,03/26/16,14,2016
Flu,03/27/16,15,2016
Flu,03/28/16,16,2016
Flu,03/29/16,14,2016
Flu,03/30/16,14,2016
Flu,03/31/16,14,2016
